indice_tiempo,superficie_sembrada_avena_ha,superficie_cosechada_avena_ha,produccion_avena_t,rendimiento_avena_kgxha
1923,1083760,859596,1104052,950.27
1924,1066575,690902,775611,890.93
1925,1289990,905407,1166682,1147.13
1926,1283300,898068,961998,947.81
1927,1278900,705430,759000,898.05
1928,1487000,887429,945974,989.57
1929,1510558,872415,988952,869.12
1930,1593200,907910,885175,880.27
1931,1404210,825830,1059314,1058.64
1932,1453310,881610,994300,959.82
1933,1443300,668305,823000,1009.84
1934,1428000,855500,900685,958.67
1935,1195000,552495,520586,847.02
1936,1619083,914879,803702.3,815.7
1937,1608216,844682,757231,784.8
1938,1392072,803190,757852,897.41
1939,1394639,880082,802600,708.64
1940,1595600,570000,539499.5,761.04
1941,1424000,470000,450000,802
1942,1935450,626096,580000,840.58
1943,2147200,1067030,924863,873.73
1944,2011000,1021400,1098700,864.51
1945,1707635,740551,793572,922.8
1946,305643,107014,54062,654.98
1947,1322700,681720,824300,912.11
1948,1393700,642050,733200,875.72
1949,1229600,515500,540100,861.11
1950,1310600,631300,673000,938.98
1951,1188700,417900,438000,831.52
1952,1702000,963000,1269300,1060.43
1953,1500000,728650,991200,1150.65
1954,1375700,694900,890000,1024.01
1955,1449600,654200,723000,990.87
1956,1887700,956000,1140000,994.09
1957,1918200,876100,994996,969.74
1958,1795601,795700,850000,936.69
1959,308500,93700,93300,897.4
1960,1589000,767500,843000,982.76
1961,1409200,596700,700000,956.72
1962,1140600,411800,487200,892.29
1963,1381600,693200,906000,961.1
1964,1133600,569500,804500,1095.71
1965,1117000,420500,480000,921.29
1966,1143400,412400,540000,870.24
1967,987940,418000,560425,888.66
1968,1121050,358220,386746,860.16
1969,1128280,327400,425000,951.15
1970,1025190,299670,359960,938.93
1971,1097440,357000,475000,990
1972,1221770,398700,566000,1103.75
1973,1153950,394600,561000,1141.1
1974,1200150,282200,327000,916.19
1975,1341100,337750,432900,1120.41
1976,1470850,383000,530000,1208.59
1977,1479870,430000,570000,1132.05
1978,1544660,500000,676000,1107.79
1979,1679700,410000,522000,1061.91
1980,1717670,349600,433000,1001.05
1981,1614670,298470,338970,1039.72
1982,1855670,407970,636970,1205.17
1983,1799670,409970,592970,1168.02
1984,1773700,434300,717000,1388.9
1985,1738650,333000,400000,1042.85
1986,1529700,312000,495000,1239.74
1987,1959720,476423,718000,1358.79
1988,1830000,355590,450000,1063.11
1989,2098450,443910,666600,1249.43
1990,1015000,201200,275000,1247.4
1991,1330000,131000,210000,1417.25
1992,2006100,371800,600200,1560.03
1993,1971080,303500,436540,1463.66
1994,1971695,259070,357286,1451.91
1995,1847775,213750,260280,1275.36
1996,1870180,246480,309500,1430.17
1997,1789200,289500,512100,1646.37
1998,1822240,240300,383395,1562.14
1999,1711460,337460,554708,1627.47
2000,1663685,335534,644150,1708.19
2001,1516115,362545,644760,1563.6
2002,1368400,292315,487510,1475.49
2003,1344030,220785,331993,1624.99
2004,1275253,291307,536091,2037.02
2005,1022680,148225,226910,1842.6
2006,1067180,138025,242960,1982.34
2007,1112910,224250,472420,2149.4
2008,1055230,211805,290525,1520.87
2009,916763,139368,181990,1798.82
2010,1133300,284570,660200,2435.21
2011,1056680,196135,414990,2297.28
2012,1223770,260240,495940,1913.03
2013,1464335,226109,444820,2049.77
2014,1344380,244528,524716,2185.09
2015,1329030,239640,553435,2327.86
2016,1353074,321054,784981,2445.39
2017,1150896,218399,491713,2318.07
2018,1364520,238166,571630,2309.13
2019,1484966,322328,600105,2071.11
2020,1405535,241925,506718,2061.64
2021,1482894,348835,723154,2172.60
2022,1475445,257361,428884,1574.79
2023,1481985,277521,564909,1996.49
2024,1432632,296648,556060,2028.24