indice_tiempo,superficie_sembrada_mijo_ha,superficie_cosechada_mijo_ha,produccion_mijo_t,rendimiento_mijo_kgxha
1935,25260,20500,25951,1044
1936,30426,20660,15622,597.37
1937,118286,57549,54580.5,1010.59
1938,104736,79816,90220,1000.3
1939,132417,98656,104243,886.05
1940,66257,35017,41161.4,828.48
1941,68570,36595,38708.34,833.66
1942,84020,36558,39259.9,695.24
1943,48742,28860.25,27840.9,953.34
1944,57180,40553,43471,832.24
1945,144879,82587,66483.1,717.8
1946,297789,148516,119846,778.57
1947,349842,281033,265797,904.44
1948,166600,81615,56550,742.47
1949,143650,83535,61940,725
1950,217940,162895,137448,826.8
1951,536620,273760,207800,840.23
1952,470880,329380,290340,983.68
1953,185330,125685,103880,852.49
1954,199160,140885,123480,856.67
1955,238800,193616,229000,984.4
1956,217400,165822,157100,846.74
1957,338400,154657,163400,936.32
1958,321200,207907,215500,1048.31
1959,283200,207420,247000,1178.19
1960,291500,201400,260600,959.84
1961,244600,159200,215000,977.82
1962,214300,145340,154500,886.87
1963,249700,167600,189000,929.37
1964,206700,114800,113000,827.94
1965,231200,163353,186400,968.94
1966,265150,188150,224100,990
1967,287750,210050,228700,945.17
1968,285600,197100,195500,871.5
1969,242700,131580,125200,890.74
1970,231000,151350,183000,1039.65
1971,217200,115800,105000,894.6
1972,276900,198450,227000,1029.54
1973,271500,208100,228500,1102.43
1974,278000,194400,200000,1177.92
1975,319200,230600,293700,1296.66
1976,350000,255000,340000,1238.01
1977,340000,244000,330000,1344.27
1978,345000,238000,310000,1205.25
1979,278000,182200,188000,1102.41
1980,338200,187400,238000,1213.82
1981,236000,131800,154000,1146.86
1982,224000,160200,178600,1165.28
1983,207300,113700,136000,1203.06
1984,228000,125400,158000,1271.44
1985,176000,93900,107000,1193.88
1986,104701,62200,76900,229.18
1987,106300,58500,80001,248.91
1988,87200,25710,30000,1104.89
1989,105300,49400,65300,1276.55
1990,148000,90000,136000,1463.04
1991,122000,72500,117000,1378.75
1992,57700,35700,59300,1451.89
1993,69200,35800,52500,1406.41
1994,86700,48025,65450,1416.5
1995,89000,44460,46819,1208.81
1996,121310,43120,44224,1140.91
1997,106510,36755,46185,1256.56
1998,88900,32250,45660,1414.86
1999,91100,30810,47620,1741.8
2000,79500,17680,31210,1864.53
2001,55200,14730,28070,1911.5
2002,49850,11850,21850,1918.04
2003,49800,7207,11375,1654.25
2004,27638,9368,16276,2028.88
2005,30710,9770,15518,1968.56
2006,38310,10230,14484,1852
2007,41965,10475,14824,1829.04
2008,25930,3410,5880,1952.73
2009,32800,6675,9115,1692.14
2010,36700,4700,7990,1850
2011,41700,9890,17414,1765.22
2012,41350,6120,11192,1910
2013,16170,2250,2670,1200
2014,11120,2040,4640,2220
2015,12980,4420,6867,2190
2016,6940,2770,5328,2853.33
2017,6380,1800,2254,1950
2018,7998,2188,4140,2700
2019,11173,3513,5442,1900
2020,17360,6240,9508,1958.33
2021,22850,5824,9480,2019.78
2022,26841,7254,9746,1556.87
2023,22522,5682,6630,1586.54