"tipo_de_degradación";"grado";"superficie";"unidad_de_medida"
"Degradacion biológica";"Baja";"516894.86";"km2"
"Degradacion biológica";"Moderada";"425678.12";"km2"
"Degradacion biológica";"Fuerte";"395272.54";"km2"
"Degradacion biológica";"Extrema";"182433.48";"km2"
"Degradación fisica";"Baja";"152027.90";"km2"
"Degradación fisica";"Moderada";"577706.02";"km2"
"Degradación fisica";"Fuerte";"927370.19";"km2"
"Degradación fisica";"Extrema";"";"km2"
"Erosión eólica";"Baja";"380069.75";"km2"
"Erosión eólica";"Moderada";"820950.66";"km2"
"Erosión eólica";"Fuerte";"304055.80";"km2"
"Erosión eólica";"Extrema";"152027.90";"km2"
"Erosión hídrica";"Baja";"182433.48";"km2"
"Erosión hídrica";"Moderada";"866559.03";"km2"
"Erosión hídrica";"Fuerte";"471286.49";"km2"
"Erosión hídrica";"Extrema";"";"km2"